country,name,date,grossWeight,purity,numistaUrl
USA,Mercury Dime,1916-1945,2.5,900,https://en.numista.com/51
USA,Roosevelt Dime,1946-1964,2.5,900,https://en.numista.com/52
USA,Standing Liberty Quarter,1916-1930,6.25,900,https://en.numista.com/30785
USA,Washington Quarter,1932-1964,6.25,900,https://en.numista.com/55
USA,Walking Liberty Half Dollar,1916-1947,12.5,900,https://en.numista.com/4455
USA,Franklin Half Dollar,1948-1963,12.5,900,https://en.numista.com/2835
USA,Kennedy Half Dollar (90% Silver),1964-1964,12.5,900,https://en.numista.com/943
USA,Kennedy Half Dollar (40% Silver),1965-1970,11.5,400,https://en.numista.com/10865
USA,Morgan Silver Dollar,1878-1921,26.73,900,https://en.numista.com/1492
USA,Peace Silver Dollar,1921-1935,26.73,900,https://en.numista.com/5580
USA,American Silver Eagle,1986-Present,1.00,999,https://en.numista.com/1493
Austria,1 Corona,1912-1916,5,835,https://en.numista.com/7003
Austria,2 Corona,1912-1913,10,835,https://en.numista.com/7934
Austria,5 Corona,1900-1907,24,900,https://en.numista.com/11558
Austria,Maria Theresa Thaler,Various,28.0668,833,https://en.numista.com/7393
Austria,1/2 Schilling,1924-1926,3,640,https://en.numista.com/9781
Austria,Schilling,1925-1932,6,640,https://en.numista.com/6223
Austria,5 Schilling,1960-1968,5.2,640,https://en.numista.com/741
Austria,10 Schilling,1957-1973,7.5,640,https://en.numista.com/1941
Austria,25 Schilling,1955-1973,13 ,800,https://en.numista.com/12433
Austria,50 Schilling,1959-1973,20,900,https://en.numista.com/10929
Austria,50 Schilling,1974-1978,20,640,https://en.numista.com/10643
Austria,100 Schilling,1974-1979,23.93,640,https://en.numista.com/7367
Austria,100 Schilling,1991-1999,20,900,https://en.numista.com/83457
Austria,200 Schilling,1995,33.63,925,https://en.numista.com/68942
Austria,500 Schilling,1980-1982,24,640,https://en.numista.com/14782
Austria,500 Schilling,1983-2000,24,925,https://en.numista.com/44283
UK,Shilling,1902-1919,5.66,925,https://en.numista.com/4717
UK,Shilling,1920-1946,5.66,500,https://en.numista.com/21941
UK,Florin,1893-1919,11.31,925,https://en.numista.com/12802
UK,Florin,1920-1946,11.3,500,https://en.numista.com/3470
UK,HalfCrown,1902-1919,14.14,925,https://en.numista.com/12799
UK,HalfCrown,1920-1946,14.14,500,https://en.numista.com/21964
France,1 Franc,1898-1920,5,835,https://en.numista.com/682
France,2 Franc,1898-1920,10,835,https://en.numista.com/680
France,5 Franc,1960-1969,12,835,https://en.numista.com/679
France,10 Franc,1965-1973,25,900,https://en.numista.com/674
France,50 Franc,1974-1979,30,900,https://en.numista.com/681
Greece,30 Drachmai - Paul I (83.5% Silver),1963,18,835,https://en.numista.com/7223
Greece,30 Drachmai - Royal Wedding (83.5% Silver),1964,12,835,https://en.numista.com/7222
Greece,20 Drachmai - Paul I (83.5% Silver),1960-1965,7.5,835,https://en.numista.com/6010
Portugal,5 Escudos,1932-1951,7,650,https://en.numista.com/4262
Portugal,2.5 Escudos,1932-1951,3.5,650,https://en.numista.com/3710
Netherlands,2½ Gulden - Wilhelmina,1929-1948,25,720,https://en.numista.com/6551
Netherlands,2½ Gulden - Juliana,1959-1966,15,720,https://en.numista.com/4130
Yugoslavia,20 Dinara - Peter II,1938,9,750,https://en.numista.com/7471
Canada,Five-Cent Piece,1858-1919,2.5,925,https://en.numista.com/420
Canada,Dime,1858-1919,2.32,925,https://en.numista.com/393
Canada,Quarter,1870-1919,5.81,925,https://en.numista.com/376
Canada,Half Dollar,1870-1919,11.66,925,https://en.numista.com/316
Canada,Five-Cent Piece,1920-1921,2.5,800,https://en.numista.com/415
Canada,Dime,1920-1967,2.33,800,https://en.numista.com/389
Canada,Quarter,1920-1967,5.83,800,https://en.numista.com/372
Canada,Half Dollar,1920-1967,11.66,800,https://en.numista.com/306
Canada,Dollar,1935-1967,23.33,800,https://en.numista.com/447
